Id,SalePrice
2658,117494.25754974375
2718,155556.33886265807
2414,205286.81544425932
1989,114351.27593788125
625,174452.18404347918
333,100276.44260365938
1327,115748.07957799122
858,152108.61460649013
95,180241.56490911508
1568,171117.7321932703
2482,164625.64256439378
1364,133271.94363774796
2584,152826.60940503102
818,287321.22642727767
2673,159912.60651003843
2089,120462.33460501087
1297,146827.19597449253
790,117698.33668843113
2616,190971.34401273265
720,211931.399788429
222,152458.48385283203
557,120766.24589918635
1148,206133.060563086
2766,165410.18812125563
534,180871.31633786313
1452,118477.5001368881
630,127281.65428431577
2648,116373.23679587553
125,143133.04815238406
1904,60857.00797139252
1670,108568.86667173504
756,101124.42895680865
717,235602.86716216648
1032,161664.4412033457
852,210668.0029001973
1731,162202.6866661419
2639,107781.84513369198
2071,91841.54969290922
1267,96593.48171692177
1851,183266.32753200314
567,145661.81984970503
2439,209576.79586918463
1898,148834.19309129144
647,168865.22041104673
2256,231696.72046018968
979,109796.63338379712
1444,224491.99209887782
2485,115998.91993459767
157,128617.32094961363
88,115484.65392386832
2003,108234.91441538332
186,180130.50579722802
1425,239144.07478138202
2695,129833.43260760278
738,98412.29346991687
395,155423.9702630872
1353,169497.2324834938
1878,138695.2732812531
390,162354.12618756838
1456,238123.5809327525
1103,329623.3073381728
1387,115434.81216118134
2070,149102.77403888348
1199,178688.29314329076
2479,175915.59257530601
501,304942.4898133321
2362,93415.164381007
1718,201473.65530636156
2188,87278.76098986021
1483,149743.4008820442
2557,86561.42718067525
437,371789.82290908974
2224,188417.90428340004
1628,168341.44232685707
397,142616.01782860744
587,192245.38946733417
2182,782752.8356343088
971,155882.67338363937
2611,144092.96673739224
1887,90242.76335992449
2399,391817.72716262366
2148,203595.0574501072
304,110891.63553268819
1997,132008.03495504742
2817,128132.24355522744
1431,178078.28183085227
427,370780.4956059303
263,123054.42279192872
598,169549.89154540602
2895,261410.70396625635
687,144558.6646499305
1822,136937.3333634452
2191,111335.5625978969
179,114504.12950499597
1009,194599.6275775063
2010,125672.52906808343
1991,146216.2996560199
1411,155939.26463134348
1721,215747.08723602135
1144,195850.96049553322
593,217265.62446903056
575,318344.88943689415
1249,174562.06421642526
1604,116720.93629273432
1064,519495.1003513145
1923,162578.69203023813
1988,109637.61331644644
2325,167831.8917275347
114,203696.4386323393
2700,157424.38573011002
217,117218.30119615205
343,172610.2761340788
386,216759.43445320253
2005,122162.82330105576
2908,136483.3385575605
1814,237319.20808862423
2446,555417.9945464843
208,130735.74060197886
1679,115816.9742306182
822,353924.6302207478
6,186859.22022233845
1781,431966.1676432536
2397,283002.38884714775
2340,297836.3157452705
1618,169815.79195222454
2843,132303.31912596762
1061,377791.0376094188
2786,128941.81998151945
1935,138187.294169817
1341,112648.65058558603
521,255029.89282710018
2136,134138.98477539874
996,195792.41792253903
227,153348.00135238664
135,172965.04541921595
1167,168311.43799663262
294,243892.7310593846
1776,192774.72055515804
540,163487.85937097194
1717,198968.22795876296
2303,128211.66338078704
116,180742.8230179292
127,130112.03034919825
1371,140971.2770496823
1014,155307.63539754602
1507,99865.83176776418
702,132164.8603920996
750,145609.77493851294
261,153925.74622069736
1559,73387.76623350743
577,229977.5435486526
2812,202292.1787862906
2080,154995.8162387914
1368,118523.45806323361
2376,118670.9510259933
659,107556.2820976337
1235,132792.76770133286
332,89426.0152850704
1917,139485.05987379074
2094,260484.52421890158
1460,261107.42220721673
1471,209509.36491193745
1509,130864.12385250797
1922,138054.91448449928
433,535312.047035936
460,272579.6219441118
1116,225488.61798833797
1137,162636.45919583977
53,160616.18016949616
2354,266594.11937508074
1475,197721.89754138238
1761,625615.5856743776
842,139382.40144368637
2739,167612.72636942271
2509,142688.34640956475
1007,204685.46533859998
2610,176532.84410341398
1952,89907.66455578864
2719,151963.75376069528
2921,97103.87497537343
1966,132790.44880548876
292,110975.52990836864
1204,186073.80887213483
1829,249405.81616980908
2419,180308.62906482632
391,156118.11876811733
798,115182.62980010296
481,202311.6545667675
193,199359.08662596444
555,119836.55243335196
899,60473.8350371173
2357,179905.63364291927
328,128246.39065762158
1356,107833.08750617101
1154,107456.92853841111
1730,173623.3722226032
2249,148818.14307791612
1119,262886.04206993507
2856,135732.0997456491
1394,137271.21091902995
2587,117034.6857654854
61,311970.7775899007
2661,181755.8278360156
2711,132147.21211961863
1147,187938.4546704976
757,126251.69200590692
2623,88259.9417751266
2378,146150.43048076326
1413,138311.99452471815
1722,202790.233462618
1112,215176.16588896982
1623,197613.2675907711
1201,187403.48692209783
1513,122909.45795983623
957,533992.8166058968
1171,259492.36728490013
1145,199521.00778730185
2726,236174.27970792062
703,158482.42518255688
760,96460.02537295602
1964,140789.19772398617
2512,177254.676128808
159,126935.74284523382
1281,160500.81540855978
468,183472.22855773612
290,123655.64050666943
665,106597.58495250545
1463,260755.15417581628
1792,220476.9492503378
923,132715.1464516477
500,276249.76741867355
1408,182257.34309560765
331,86144.37384394737
170,122092.26660780865
2192,97658.57455191917
2571,314045.1472176993
2314,173350.02769902232
2647,98826.59321459725
422,480956.4225911123
2457,380641.85233586386
1838,195744.19900479168
2805,260758.78344812372
1645,163895.82626277363
1711,302132.62859736726
2825,274184.6599970204
322,361338.26227388455
2103,247274.55844201142
342,118433.02470588201
600,122797.45308493316
488,178153.88223986782
1725,326954.8901634428
2246,269185.27326217986
2847,161555.47965732418
806,247798.9607122964
530,225023.8606275504
963,197609.588997947
2678,89906.34490273478
171,100654.99555510512
2401,481057.05416525644
805,230380.5408498756
2259,213137.7758518027
1748,181586.73563262023
1361,139103.44306549037
1677,115868.69134029397
1406,149314.01686786365
2322,266358.36051614926
688,149588.97584507204
143,139250.5701548297
804,213679.53714240686
1214,144994.68395967074
2828,141283.3769592192
1999,185994.7032077065
2467,181657.90152881798
2665,155076.85635857395
1538,314855.5053093616
398,116091.38194335264
2822,135913.5699735238
2157,143395.11750308628
1856,183857.90357038335
1269,98687.31657044531
2570,117419.84453744255
2320,228939.11222159458
