Id,SalePrice
2658,147373.11869768557
2718,160902.19940063183
2414,197145.59044202266
1989,101982.93364983793
625,167210.0431920299
333,105993.39669107732
1327,106154.29190730234
858,154420.71134039864
95,185283.98402060743
1568,170808.13852257168
2482,154334.6301693006
1364,122465.00595196823
2584,144718.58235720187
818,284166.8623300956
2673,154083.8105786815
2089,111922.29433897207
1297,138339.0531566875
790,115155.63194123389
2616,203848.32999334615
720,186609.4993616362
222,146501.81822822316
557,125878.83758786757
1148,183424.26317906685
2766,151706.3133875844
534,191838.45656821918
1452,128149.901999092
630,103075.07908618673
2648,101642.8315661071
125,155213.68104116703
1904,71082.45735735752
1670,114936.24507436146
756,86493.11558362952
717,199246.09292246943
1032,144167.122212331
852,211406.6937882374
1731,180939.19360273136
2639,111630.23343386513
2071,99181.5072721075
1267,110438.70257247624
1851,185770.08162222267
567,146534.66024155013
2439,205320.05926057053
1898,141022.14847387723
647,161584.67632997356
2256,209987.86311324168
979,106421.24698371044
1444,211664.6314490205
2485,119378.9053056644
157,129381.0218454285
88,123876.47605759506
2003,105304.35853184255
186,191838.5846028897
1425,239737.06808020314
2695,118375.96983864976
738,96151.49906758172
395,160615.72066381096
1353,161037.8223270489
1878,135330.3737496376
390,157033.93177931642
1456,228716.62268710794
1103,334929.83097899106
1387,124667.99337024594
2070,133415.58036571814
1199,178054.91589210607
2479,166920.41024193098
501,274051.25877079164
2362,96285.94052472114
1718,190917.97039781188
2188,77205.55136998076
1483,145260.77436545066
2557,81420.86230427599
437,378980.10785740544
2224,172058.3608617788
1628,166575.6643818732
397,139917.73651033387
587,175287.4932181121
2182,1255288.8004380965
971,129801.66084616909
2611,141598.56050062465
1887,106870.75005476759
2399,358292.28557193774
2148,195064.19189793788
304,118856.56576261226
1997,118099.358546049
2817,102312.2691343584
1431,185857.48597873302
427,334413.2831802746
263,125299.03019888236
598,154552.48190221624
2895,246823.62777845797
687,137378.3807420709
1822,132643.80613991083
2191,103440.77802699586
179,126339.58099831501
1009,201720.4319948322
2010,121828.99816452274
1991,132956.59726726386
1411,187852.10503901524
1721,229836.50713533955
1144,183455.09859270602
593,214002.46541573835
575,326742.80487168295
1249,163617.40157793672
1604,123403.49382836389
1064,592375.4248964876
1923,157386.79404513305
1988,116231.87282392375
2325,167235.84055129293
114,190072.66826857647
2700,199243.28867148608
217,127392.76992274524
343,172717.53529343978
386,224624.92467413555
2005,112741.4555203728
2908,144185.90479954402
1814,234623.8768421003
2446,673542.1679433084
208,129849.70710233282
1679,115078.14030387084
822,305218.7870719978
6,200253.03614534935
1781,408309.015715641
2397,265173.7009513516
2340,308607.6501896579
1618,177982.173499487
2843,107150.90504642956
1061,394507.9428516747
2786,134449.00377316767
1935,130059.52652599217
1341,109422.94453547375
521,270350.7532080215
2136,126654.97732586546
996,188122.70371832978
227,137086.24034505716
135,176699.281179268
1167,160092.6448067475
294,206042.25977056133
1776,204597.1880103402
540,174857.65729727162
1717,188023.44846686686
2303,139242.442342462
116,175964.02489551637
127,121644.88952558195
1371,125626.1203050143
1014,157280.6757196787
1507,108739.36567868637
702,129108.42268823819
750,138218.0232405278
261,165613.6778197689
1559,85141.36969426823
577,242494.79459841794
2812,201963.77903688807
2080,161154.62095026704
1368,113628.62566838435
2376,117752.66398170838
659,105553.59843949441
1235,137924.56239300498
332,87789.0926929924
1917,144347.2629963536
2094,236318.02876430587
1460,281240.42275906383
1471,199416.17992787354
1509,118395.21677229308
1922,135732.41818980902
433,609772.0445070242
460,243378.47220057182
1116,234704.4553751727
1137,170826.3436799895
53,163742.0481270566
2354,257210.8056448686
1475,193828.065873101
1761,913984.4438221093
842,136933.6109227755
2739,163132.7174597153
2509,149485.9272648259
1007,198723.51760409065
2610,192174.01718764083
1952,85615.42611725592
2719,164974.0106846832
2921,98755.63486668248
1966,144154.72636614603
292,100199.44419916774
1204,178241.19226797906
1829,251758.50885462764
2419,183858.79653499348
391,137637.19353794708
798,114617.89607280336
481,191027.4907258743
193,189263.17482338054
555,113737.66909213495
899,72439.15602058677
2357,178669.2300080256
328,130785.52278178971
1356,112360.4014325921
1154,109198.36897549608
1730,166493.17110890188
2249,155332.20142385425
1119,259028.03224104195
2856,132079.35139020116
1394,140886.89618371686
2587,125612.27921998718
61,329341.8616911685
2661,162015.65180296637
2711,145355.08559809785
1147,180503.6036097523
757,120641.76477324194
2623,97376.88845021765
2378,139415.55602775898
1413,150067.95235909036
1722,212200.06838269348
1112,205773.45359546482
1623,196092.57764636952
1201,173312.56942622582
1513,105830.7080519006
957,830956.5758060867
1171,250486.80586636745
1145,196547.88868322203
2726,243265.29178853042
703,151616.3131636838
760,99900.18537577051
1964,145429.79843579885
2512,170734.8635460565
159,141810.40718649793
1281,157814.97537070987
468,178653.63707712648
290,127672.12932081058
665,102619.35518335132
1463,267794.5864060122
1792,220945.61664139896
923,143158.081129479
500,249250.1748330672
1408,163611.76463414016
331,90458.5604768936
170,97057.24781392838
2192,94199.41714274818
2571,278293.9547095523
2314,175492.82607180567
2647,98327.93928534265
422,465935.72885463794
2457,375266.53974072874
1838,179266.09513801112
2805,255916.01709627535
1645,147056.01588625787
1711,296612.36534152564
2825,239326.81763677404
322,316913.1681687294
2103,244713.464830605
342,126934.73266962773
600,118606.46723225414
488,183982.94792410976
1725,298404.0272839987
2246,270939.58648133266
2847,142454.07615242648
806,246633.07499984052
530,223845.4391066405
963,193229.33259964664
2678,86195.87286735646
171,89093.77623805891
2401,451242.57662062225
805,219737.28623632187
2259,243306.9674909383
1748,174559.94150626918
1361,147955.6652545767
1677,126450.78131022208
1406,144610.64964327714
2322,250588.46515909216
688,154048.81025846433
143,147491.15892253615
804,198839.01625510873
1214,156372.9139153675
2828,139427.46899207082
1999,168334.08455608092
2467,186940.55016283836
2665,152806.05636108454
1538,387477.4276557744
398,117488.55829847413
2822,135481.15716818356
2157,140442.91970766694
1856,186936.25775421172
1269,96670.48843043149
2570,122509.0565405434
2320,232288.3434485906
1517,152914.47738765742
2304,122750.15399511787
1312,92784.87859601791
2012,128911.9080512163
506,243084.90344011434
2865,215581.9459748966
2367,114982.95406364877
554,88895.68818811621
238,135390.85250266088
1954,122451.14862174143
2488,140511.13165428684
2291,87499.95748929141
1969,111541.71445873912
2725,162079.43820280881
1482,145260.77436545066
2763,191611.83671166762
503,234718.45279716872
1584,235587.05872648733
1531,114430.26068994052
2210,161231.29943349096
459,319840.33432248974
556,135246.0402497015
1347,128682.6102981926
1290,81183.82076625332
1388,98284.0915407655
1571,443241.7170361295
2754,185804.4937170955
765,129652.2661993616
2494,133470.04814997697
2870,218262.090948716
7,219253.57659979668
1114,236823.6601253947
2418,280696.8143611714
291,145110.70253291822
18,309080.27576618607
39,365081.83579513134
1001,252365.19724178102
2442,230929.2825062586
616,105973.37458243466
2680,80273.07765482382
1414,116275.24668361816
289,143111.34640196455
40,255393.5734176777
860,125582.12677299851
409,148051.01834698446
673,155950.94412400998
2427,162735.42382622062
2036,241302.22161584024
2564,138840.56530467502
642,142124.8792053999
1008,182951.90819643904
1908,136536.90858179485
2519,191855.17153937893
1369,103274.0863013582
2855,150899.21458562493
712,102200.09334494115
1943,102156.15277990306
1958,124694.60324397786
107,149834.11635759164
2295,217272.06700492176
704,98137.352783124
676,124923.03453451271
259,180318.08098718504
93,287974.2541654399
106,234770.99686660685
2315,179045.36397765277
1050,111896.09870847278
1095,199322.91905768367
2709,142549.7214118771
758,125695.52733782466
1496,159413.24681377958
2370,139959.62921484365
2458,268209.4632770241
2733,122502.98500408526
161,283731.2104015985
726,130616.31437004874
845,201928.9628308426
947,257919.66154838545
2232,120817.25651597226
2563,154288.67673605317
2299,147044.0304078671
211,87510.37280440927
605,152228.51429068155
1478,198105.3574992731
2247,268068.7291001274
2274,202310.86905160442
2869,194526.66668855853
967,215519.77171369916
2656,114923.50444281596
667,202593.04771765368
1042,127657.68726365668
2023,145079.72335011736
2447,390510.71292019007
2055,119502.29404508907
2275,262202.845803125
2204,149264.33103626748
1563,261438.52468063345
483,208647.20892297607
796,122347.02616813092
1526,143976.92492507093
2042,121349.76191427576
442,349573.23113500816
1693,320937.59133603185
1468,212507.2870116446
1430,178393.75447248132
2605,129004.15714927042
1529,185904.2700240543
335,162136.48765457032
1287,126837.26995386356
31,107975.34724463508
1785,279898.1810709723
82,172088.60642167626
2620,134011.6531522071
252,189127.48588797197
721,63405.89966449608
2165,167272.89899583883
2316,177746.82549874205
775,126475.37007304224
1558,96025.69895258691
17,254451.51117519796
1022,219179.6548376022
925,108806.1929093095
438,271732.0888583133
1270,152426.020465799
1272,130714.18591700193
215,131108.99620000855
266,226372.89201456268
2402,269635.53558723506
1250,136554.80513169628
1984,110557.00181621524
1279,140184.8413891049
377,271162.9468021501
1252,108564.61055286559
2156,268815.65970455087
499,317165.7833921132
1374,123370.02907146861
2898,281914.81215984013
401,119521.73127098719
2721,144879.22672714767
2078,246065.1555874199
2589,124647.83453073105
1946,220590.64772044477
1334,124747.59894447745
2781,226485.9496262048
431,425670.4748154627
576,189713.49066348057
1474,206006.73256421665
2254,159972.01760775672
2155,292026.3292224539
885,91508.65314803376
643,141271.41758602858
1944,121509.73062053327
480,191978.34930471558
2845,100534.29010631128
2387,313420.1104855418
2407,193453.54592072286
2527,158631.31108448183
2514,151387.52262848
629,144592.2178413599
80,228914.49571524592
1876,134589.025599663
1546,131056.55635600198
2518,170803.6780762848
2347,152253.96448601413
783,216394.96073510547
1322,58660.920734812986
194,91450.00660635876
1770,279554.67574465665
2143,124622.20918186143
1229,213631.27212724125
511,281902.96503449214
46,210455.5963366653
1348,148642.19269932632
2465,184705.29142273613
387,228255.28631667548
873,214418.67665321846
1918,125707.0996752491
2764,237965.14770569236
2184,122539.78337089819
934,142618.26917839097
1920,129884.53932870657
2631,141487.55375504075
1768,865181.2356951035
2040,107320.02349493388
1749,211408.1931400138
834,229952.44549294375
1457,233604.0563657328
79,131162.60981657886
2302,135439.20709097828
1817,146560.06298651977
2755,224223.8756036264
359,168906.5712439551
2059,112443.89812422238
2092,247498.06681209538
2516,216375.6494528917
150,127864.01950922886
1656,137360.64067454022
83,98780.57735633089
2411,170593.89846093132
795,76450.12367941234
2312,234092.6805356485
2917,107079.37128410993
1624,182096.3809463364
2215,312620.4810262756
1211,158316.5851577477
1485,144685.50423197975
1024,149836.97637545806
570,179469.91356918597
2874,135803.00997632986
700,111365.71103363879
2756,209142.98025029825
2022,177049.87321568705
583,217081.72414747067
2392,353606.368352178
2424,184057.2720798264
212,113123.12124493296
736,124260.75584959416
1610,157471.7539954399
890,121255.93340695748
467,179254.82471542354
578,229920.70727683234
1747,184257.45688573451
1149,156654.03467459857
2758,253202.93318243063
857,142893.00103697483
2219,296236.11717089487
733,109126.03676831463
2909,121860.24792075444
1798,255576.9334145666
235,109605.87312086552
2366,132976.4122354571
1027,127822.57615071522
1195,132197.77586728818
1303,63023.123131253604
148,171740.73149872597
608,154910.4346493632
2515,192893.08228019858
821,241970.88178621122
2500,274221.3755567815
745,101598.59059216864
741,128688.45289169106
1611,111960.45732778816
2532,120542.31469351803
1081,223575.89908737727
1692,478103.27646962
2520,169560.85749592478
276,108072.21207398298
1992,126521.17044697815
663,63088.049305466135
418,139851.7258986845
1733,177088.1250240806
2359,148954.07645619538
253,180914.27612614792
1518,160646.94648325237
2035,137476.87411222685
2919,92999.48335214697
1540,245190.9484731049
2120,146421.4627977526
1674,160142.31578116558
256,156414.0289309074
2361,100492.25346238654
978,84790.99474122071
2280,138181.0633818673
2095,224899.4929410119
1709,345455.24527358776
2801,264225.1394817438
1246,109433.62483073291
2373,111064.8318548193
1055,288751.1808631665
2017,113663.26116475719
1099,242528.41086984533
1344,92847.90314822148
835,209222.869045977
1117,201281.68676044492
2043,95305.18015945333
2085,125508.383508516
410,146330.4986224687
2650,119362.24776699465
2867,156708.62271686777
1668,117597.42632348991
1161,160685.40473254456
2122,166255.31612129547
2539,150969.3570309949
1047,157350.29825122605
1445,127385.80122767459
541,135403.32308412693
569,198756.16774809745
1276,119591.81480294291
918,143851.63076179355
326,162354.00054419148
1936,129223.66658756848
895,96421.02005067715
257,144335.46179046604
1241,189426.97540722004
1545,124141.74458411077
